block,district
370230203041014,46
370230203041021,46
370230203041008,46
370230203041007,46
370230203033010,46
370230203041024,46
370230203041023,46
370230203041022,46
370230203041009,46
371119709032030,46
371119709032033,46
371119709032031,46
371119709032034,46
371119709032032,46
371119709032043,46
371119709032046,46
371119709032044,46
371119709032045,46
371119709032042,46
371119709032047,46
371119709032038,46
371119709032022,46
371119709032014,46
371119709032007,46
371119709032023,46
371119709032011,46
371119709032013,46
371119709032012,46
371119709041036,46
371119709032000,46
371119709032010,46
371119709041033,46
371119709041019,46
371119709042009,46
371119709032054,46
371119709032052,46
371119709032053,46
371119709032041,46
371119709042031,46
371119709042034,46
371119709042033,46
371119709032040,46
371119709042004,46
371119709042032,46
371119709042003,46
370230213022024,46
370230203042029,46
371119709042022,46
371119709042005,46
371119709042006,46
371119709042001,46
371119709042002,46
370230203042031,46
370230203042032,46
370230203042030,46
371119709042000,46
370230203042026,46
370230203042007,46
370230203042006,46
370230203042025,46
370230203042024,46
370230203042023,46
370230203042020,46
370230203042008,46
370230203042009,46
370230203042010,46
370230213022023,46
370230203042028,46
370230203042022,46
370230203042027,46
370230213022022,46
370230203042019,46
370230203042018,46
370230203042011,46
370230203042003,46
370230203042012,46
370230203042013,46
370230203042017,46
370230203042016,46
370230213022019,46
370230203042021,46
370230203041019,46
370230203041020,46
370210026032012,49
370210026032019,49
370210026032015,49
370210026032011,49
370210026032006,49
371119709032001,46
371119709032055,46
371119709032002,46
371119709032006,46
371119709041039,46
371119709041038,46
371119709041037,46
370230212032020,46
370230212032018,46
370210026031000,49
370210026032025,49
370210026032024,49
370210026032026,49
370210026031003,49
370210026031002,49
370210026032027,49
370210026032030,49
370210026032002,49
370210026032029,49
370210026032004,49
370210026032028,49
370210026032005,49
370210026032003,49
370210026032001,49
370210026032000,49
370210026041014,49
370210026041004,49
370210026041003,49
370210026041012,49
370210026044033,49
370210026041009,49
370210026041007,49
370210026031005,49
370210026044030,49
370210026044032,49
370210026044031,49
370210026044029,49
370210026091007,49
370210026044028,49
370210026041010,49
370210026041011,49
370210026044027,49
370210026091008,49
370210026044024,49
370210026044022,49
370210026044025,49
370210026044026,49
370210026044018,49
370210026041006,49
370210026041002,49
370230212031037,46
370230212031038,46
370230212031040,46
370230212031056,46
370230212031055,46
370230212031006,46
370230212031002,46
370230212031007,46
370230212031008,46
370230212031039,46
370230212031041,46
370230212031054,46
370230212032019,46
370210026062002,49
370210026062003,49
370210026062004,49
370210026062001,49
370210026062000,49
370210026044017,49
370210026044016,49
370210026044015,49
370210026044008,49
370210026044009,49
370210026044010,49
370210026044003,49
370210026043009,49
370210026044013,49
370210026044014,49
370210026042008,49
370210026062006,49
370210026062007,49
370210026043019,49
370210026043010,49
370210026043007,49
370210026043011,49
370210026043012,49
370210026043018,49
370210026061001,49
370210026043017,49
370210026043014,49
370210026043015,49
370210026043008,49
370210026043002,49
370210026043004,49
370210026043013,49
370210026043003,49
370210026044012,49
370210026044011,49
370210026044005,49
370210026044019,49
370210026043005,49
370210026042007,49
370210026043006,49
370210026043000,49
370210026042005,49
370210026042021,49
370210026042020,49
370210026042019,49
370210026043001,49
370210026042017,49
370210026042016,49
370210026042009,49
370210026044001,49
370210026044000,49
370210026044004,49
370210026061000,49
370210026071006,49
370210026043016,49
370210026042025,49
370210026071005,49
370210026071007,49
370210026071004,49
370210026042026,49
370210026042027,49
370210026071003,49
370210026042024,49
370210026042023,49
370210026042022,49
370210026042018,49
370210026071012,49
370210027013011,49
370210027013010,49
370210026071014,49
370210026071015,49
370210026071016,49
370210026071001,49
370210026071002,49
370210027013006,49
370210027013007,49
370210027013002,49
370210027013009,49
370210027013003,49
370210027012003,49
370210027013008,49
370210026042010,49
370210026042011,49
370210026042012,49
370210027012005,49
370210026042014,49
370210028033030,49
370210027012004,49
370210026042013,49
370210026042003,49
370210026042001,49
370210026042015,49
370210028033029,49
370210028033016,49
370210026042002,49
370210028033015,49
370210026071000,49
370210027013004,49
370210027013005,49
370210027013001,49
370210027011008,49
370210027011006,49
370210027011007,49
370210027011018,49
370210027011005,49
370210027011004,49
370210027013000,49
370210027011021,49
370210027011020,49
370210027011014,49
370210027011022,49
370210027011017,49
370210027011015,49
370210027011003,49
370210027011023,49
370210027011024,49
370210027011013,49
370210027011011,49
370210027011012,49
370210016022028,49
370210016022019,49
370210027011016,49
370210027011009,49
370210027011010,49
370210016022020,49
370210027011025,49
370210016021021,49
370210016021013,49
370210016022027,49
370210016021020,49
370210016021026,49
370210016021018,49
370210016021012,49
370210016022026,49
370210016022025,49
370210016022029,49
370210016022021,49
370210016022022,49
370210016022023,49
370210016022016,49
370210016022014,49
371119709031057,46
371119705001053,46
371119709031040,46
371119709031039,46
371119709032051,46
371119709031069,46
371119709031060,46
371119709031058,46
371119709032018,46
371119709031055,46
371119709031059,46
371119709031041,46
371119709031034,46
371119709031056,46
371119709031054,46
371119709031053,46
371119709031050,46
371119709031042,46
371119709031061,46
371119709031043,46
371119709031020,46
371119709032015,46
371119709032048,46
371119709032019,46
371119709032004,46
371119709032020,46
371119709031052,46
371119709031049,46
371119709031051,46
371119709031048,46
371119709031047,46
371119709031044,46
371119709031045,46
371119709031046,46
371119709032003,46
371119709032056,46
371119709031024,46
371119709031019,46
371119709032005,46
371119709022004,46
371119709022003,46
371119709033029,46
371119709033030,46
371119709033026,46
371119709033025,46
371119709033035,46
371119709033034,46
371119709033024,46
371119709033027,46
371119709033019,46
371119709033028,46
371119709033017,46
371119709033018,46
371119709033013,46
371119709033012,46
371119709033020,46
371119709033021,46
371119709033015,46
371119709033016,46
371119709033011,46
371119709033008,46
371119709033031,46
371119709033023,46
371119709033022,46
371119709033010,46
371119709032050,46
371119709032017,46
371119709033014,46
371119709033005,46
371119709033003,46
371119709033006,46
371119709033002,46
371119709033004,46
371119709033001,46
371119709033000,46
371119709031066,46
371119709033007,46
371119709031068,46
371119709033009,46
371119709031065,46
371119709031064,46
371119709031063,46
371119705001056,46
371119709031062,46
371119705001042,46
371119709031038,46
371119705001049,46
371119705003028,46
371119709021026,46
371119709021025,46
371119709022002,46
371119709021027,46
371119709021033,46
371119709022001,46
371119709022000,46
371119709021031,46
371119709021029,46
371119709021008,46
371119705003033,46
371119709021007,46
371119705001047,46
371119705003030,46
371119705003029,46
371119705001046,46
371119705003032,46
371119705003034,46
371119705001057,46
371119705001058,46
371119705001059,46
371119705001036,46
371119709021032,46
371119709021006,46
371119709021003,46
371119709021030,46
371119709021005,46
371119709021004,46
371119705001054,46
371119709021001,46
370210016021017,49
370210016021019,49
370210016021011,49
370210016022031,49
370210016022010,49
370210016022030,49
370210016022018,49
