block,district
371830528012013,1
371830528012029,1
371830529032005,1
371830529032007,1
371830529032004,1
371830532081006,1
371830532081008,1
371830534282054,1
371830532081005,1
371830532081060,1
371830532081061,1
371830532081037,1
371830532081016,1
371830532081022,1
371830532081030,1
371830532081028,1
371830532081021,1
371830532081044,1
371830532081015,1
371830532081019,1
371830532081027,1
371830534283066,1
371830534283064,1
371830534283065,1
371830534283030,1
371830534283076,1
371830534283075,1
371830534283048,1
371830534321037,1
371830534172045,1
371830534172042,1
371830534172041,1
371830534321019,1
371830534321035,1
371830534172029,2
371830534172028,2
371830534283078,1
371830534283079,1
371830534283081,1
371830534172026,2
371830534283080,2
371830534283077,2
371830534283021,2
371830534283019,2
371830534331020,2
371830534172027,2
371830534172025,2
371830534172024,2
371830532081112,1
371830532081045,1
371830532081046,1
371830532081075,1
371830532081024,1
371830532081052,1
371830532081072,1
371830532081076,1
371830532081054,1
371830532081053,1
371830532081051,1
371830532081050,1
371830532081055,1
371830532081047,1
371830532081048,1
371830532081025,1
371830532081002,1
371830532081000,1
371830532081001,1
371830534321033,1
371830534321032,1
371830532081036,1
371830532081049,1
371830534321074,1
371830534321075,1
371830534321073,1
371830532081071,1
371830532081077,1
371830532081078,1
371830532081070,1
371830534321080,1
371830534321071,1
371830534321078,1
371830534321079,1
371830534321070,1
371830532041008,1
371830532041009,1
371830532041006,1
371830532041010,1
371830532041007,1
371830532041011,1
371830534321052,1
371830534321076,1
371830534321077,1
371830534321051,1
371830534321053,1
371830534321049,1
371830534321056,1
371830534321072,1
371830534321067,1
371830534321068,1
371830534321060,1
371830534321062,1
371830534321069,1
371830534321020,1
371830534321031,1
371830534321021,1
371830534321018,1
371830534321017,1
371830534321016,1
371830534172030,2
371830534321014,1
371830534172031,2
371830534321022,1
371830534321023,1
371830534321061,1
371830534321030,1
371830534321024,1
371830534321015,1
371830534321012,1
371830534321013,1
371830534321010,1
371830534172032,2
371830530094008,1
371830530094009,1
371830530094003,1
371830530094010,1
371830530095008,1
371830530095005,1
371830530095009,1
371830530094000,1
371830530095006,1
371830530094001,1
371830530094002,1
371830530095004,1
371830530095001,1
371830530095003,1
371830530095000,1
371830529031002,1
371830529031004,1
371830529031000,1
371830529031005,1
371830529032023,1
371830529031008,1
371830529031001,1
371830530095002,1
371830530092017,1
371830528011005,1
371830528011009,1
371830528011019,1
371830528011018,1
371830530092014,1
371830530092009,1
371830530092008,1
371830530092010,1
371830530093001,3
371830530092007,1
371830530092015,1
371830530092006,1
371830530092011,1
371830530092004,1
371830530091031,3
371830530093000,3
371830524072005,3
371830531113000,1
371830531113022,1
371830531112019,1
371830531112012,1
371830531112014,1
371830531101009,1
371830531101036,1
371830531101035,1
371830531112011,1
371830531112013,1
371830531112009,1
371830531112003,1
371830531112018,1
371830531101037,1
371830531112016,1
371830531112017,1
371830531112015,1
371830531112006,1
371830531112005,1
371830531101016,1
371830531101018,1
371830531101011,1
371830531101014,1
371830531101012,1
371830531101013,1
371830531101017,1
371830531101015,1
371830531112008,1
371830531112007,1
371830530093013,1
371830530095025,1
371830530095019,1
371830531101019,1
371830530095018,1
371830530095021,1
371830530095020,1
371830530095016,1
371830530095022,1
371830531112004,1
371830530103001,1
371830530103000,1
371830530093009,1
371830530095024,1
371830531101002,1
371830530095017,1
371830530095015,1
371830530095023,1
371830530094006,1
371830530054008,1
371830530054002,1
371830530054009,1
371830532101004,1
371830530062002,1
371830530062001,1
371830530063000,1
371830530062009,1
371830530062004,1
371830530063001,1
371830530054005,1
371830530054000,1
371830530073006,1
371830530073004,1
371830530073005,1
371830531111002,1
371830531111001,1
371830531112022,1
371830531112021,1
371830531112025,1
371830531112023,1
371830530061003,1
371830530061004,1
371830530061005,1
371830530061006,1
371830531111000,1
371830532111004,1
371830532111021,1
371830532111005,1
371830532111013,1
371830532111052,1
371830532111017,1
371830532101028,1
371830532101017,1
371830532101021,1
371830532101008,1
371830532101029,1
371830532101020,1
371830532101030,1
371830532101018,1
371830532101009,1
371830532101012,1
371830532111020,1
371830532111006,1
371830532111054,1
371830532111008,1
371830532111051,1
371830532111011,1
371830532111055,1
371830532101043,1
371830532101042,1
371830532101039,1
371830532101038,1
371830532101063,1
371830532101040,1
371830532111000,1
371830532111002,1
371830532111039,1
371830532101059,1
371830532111037,1
371830532111030,1
371830532111023,1
371830532111034,1
371830532111028,1
371830532111024,1
371830532111057,1
371830532111036,1
371830532111032,1
371830532111035,1
371830532111027,1
371830532111029,1
371830532111025,1
371830532101067,1
371830532101060,1
371830532101068,1
371830532101058,1
371830532111031,1
371830532111038,1
371830532111033,1
371830532101057,1
371830532101062,1
371830532101047,1
371830532101046,1
371830532101045,1
371830532101055,1
371830532101056,1
371830532101044,1
371830532101024,1
371830534212010,1
371830534212009,1
371830534212004,1
371830534212012,1
371830534212011,1
371830534212005,1
371830534212008,1
371830534212002,1
371830534312017,1
371830534312018,1
371830534312019,1
371830534312020,1
371830534312015,1
371830534212003,1
371830534212001,1
371830534312001,1
371830534312002,1
371830534312014,1
371830534312004,1
371830534312013,1
371830534312007,1
371830534312009,1
371830534052012,1
371830534051006,1
371830532021003,1
371830532021001,1
371830532021000,1
371830532021002,1
371830532021006,1
371830532021005,1
371830532031063,1
371830532031049,1
371830532031058,1
371830532031060,1
371830532031062,1
371830532031053,1
371830532022003,1
371830532031061,1
371830532022007,1
371830532022004,1
371830532022006,1
371830532022005,1
371830532022001,1
371830532022002,1
371830532022000,1
371830532101050,1
371830532101051,1
371830532101052,1
371830532101053,1
371830532031006,1
371830532031048,1
371830532021010,1
371830532021011,1
371830532032027,1
371830532032013,1
371830532031051,1
371830532032002,1
371830532032008,1
371830532032010,1
371830532032000,1
371830532031054,1
371830532031056,1
371830532031009,1
371830532031052,1
371830534312012,1
371830532031008,1
371830532031005,1
371830534312011,1
371830534312005,1
371830532031050,1
371830532031059,1
371830532031047,1
371830532031046,1
371830532031057,1
371830532031004,1
371830532031055,1
371830532031043,1
371830532031007,1
371830532031044,1
371830532031003,1
371830532031002,1
371830532031045,1
371830532031001,1
371830532031000,1
371830534212025,1
371830534312010,1
371830534321044,1
371830534321043,1
371830534321039,1
371830534321059,1
371830534311035,1
371830534321040,1
371830532031031,1
371830532031037,1
371830532031038,1
371830532031029,1
371830532031013,1
371830532031012,1
371830532031011,1
371830532031017,1
371830532031010,1
371830532031025,1
371830532031026,1
371830532031021,1
371830532031027,1
371830532031030,1
371830532031028,1
371830534311030,1
371830534311034,1
371830532031018,1
371830534311029,1
371830532031015,1
371830532031014,1
371830532042000,1
371830532042003,1
371830532021034,1
371830532021020,1
371830532021019,1
371830532021018,1
371830532032033,1
371830532032047,1
371830532032034,1
371830532032048,1
371830532021015,1
371830532021017,1
371830532021014,1
371830532021035,1
371830532032029,1
371830532032032,1
371830532032005,1
371830532032037,1
371830532032011,1
371830532032012,1
371830532032036,1
371830532032035,1
